MSTID	RSRID	LNAME	FNAME	TYPE	SCIENCE	FIELD	SUBFIELD	STAT	statadm	ALLOW	CITSHIP	FRASCATI	RECAPITUALITION	CITATIONS	ABBREV	KEYWS	CONTACT	REPRESENTBIBL	THESES	EDUCATION	LANGSKILLS	PROJECTS	PROGRAMS	EMPLOY	ORCID	LINKS	YNGRESEARCHERS	CERIF	MTONGUE	BIOGRAPHY	sss	FIL	DESC
1	00158	13557	Bohte	Zvonimir	RSR	1	01	03	RET	UPD	T	SI	list(SCIENCE = "1", FIELD = "01", SUBFIELD = "03", WEIGHT = "1", SCI_DESCR = "Naravoslovje", FIL_DESCR = "Matematika", SUB_DESCR = "Numerièna in raèunalniška matematika")	list(`1ABC` = "0", `2A3AB` = "0", A1_Score = "0", A11 = "0", A12 = "0", A3_Score = "0", A3_Update = "0", A31_Score = "0", A32_Score = "0", A33_Score = "0", A34_Score = "0", A35_Score = "0", AI = "0", AII = "0", CI_10 = "4", CI_Max = "2", Cnt_1A1 = "0", Cnt_1A2 = "0", Cnt_1A3 = "0", Cnt_1A4 = "0", Cnt_1B = "0", Cnt_1C = "0", Cnt_1D = "0", Cnt_2A = "0", Cnt_2B = "0", Cnt_2C = "0", Cnt_2D = "0", Cnt_2E = "0", Cnt_2F = "0", Cnt_2G = "0", Cnt_2H = "0", Cnt_2I = "0", Cnt_2J = "0", Cnt_3A = "0", Cnt_3B = "0", 
    Cnt_3C = "0", Cnt_3D = "0", Cnt_3E = "0", Cnt_3F = "0", Cnt_4C = "0", Cnt_4D = "0", Cnt_A12 = "0", Cnt_AI = "0", Cnt_AII = "0", Cnt_S = "0", Cnt_Z = "0", `h-index` = "2", Z = "0", SCIENCE = "1")	list(WOS_CONNECTIONS = "2", WOS_CITATIONS = "7", WOS_PURE_CITATIONS = "7", SCOPUS_CONNECTIONS = "2", SCOPUS_CITATIONS = "27", SCOPUS_PURE_CITATIONS = "27", WOS_DIV = "3,5", SCOPUS_DIV = "13,5")	Dr.	Numerièna linearna algebra, analiza zaokrožitvenih napak, Gaussova eliminacija, pasovne matrike.	list()	list(BIBLIO = c("7010393", "7010649", "8594777", "8602457", "34552832", "45529344", "48641792"))	list(CID = "6049029", TYPOLOGY = "2.08", DOCTYPE = "m", TITLE = "Analiza zaokrožitvenih napak pri reševanju pasovnih sistemov linearnih enaèb po Gaussovi metodi", FROMYEAR = "1971", PAGES = "76 str.", DATECRE = "25.3.1991")	list(EDULVL = c("diploma", "doktorat"), DEGREE = c("diplomirani matematik", NA), INSTNAME1 = c("Univerza v Ljubljani", "Univerza v Ljubljani"), INSTNAME2 = c("FNT, Oddelek za matematiko", "FNT, Oddelek za matematiko"), COUNTRY = c("Slovenija", "Slovenija"), FIELD = c("Matematika", "numerièna analiza, matematika"), YEAR = c("1957", "1971"), LVLCODE = c("BCD", "DOD"), COUNTRYCODE = c("SI", "SI"))	list(LANG_DESCR = c("angleški", "srbski ali hrvaški (latinica)", "ruski"), LANGCODE = c("ENG", "SCR", "RUS"), SKILLRD = c("tekoèe", "tekoèe", "funkcionalno"), SKILLWR = c("tekoèe", "funkcionalno", "osnovno"), SKILLSPK = c("tekoèe", "tekoèe", "osnovno"), SKILLRD_CODE = c("FL", "FL", "FU"), SKILLWR_CODE = c("FL", "FU", "BA"), SKILLSPK_CODE = c("FL", "FL", "BA"))	list(MSTID_PRG = "J", MSTID_SCIENCE = "1", MSTID_CONTR = "8547", TITLE = "Preslikave na algebrah in stabilnost", STARTDATE = "1.7.1997", ENDDATE = "30.6.2000", PRJID = "932", PRJ_STATADM = "UPD", FNAME = "Peter", LNAME = "Šemrl", RSR_MSTID = "05953", RSR_STATADM = "UPD", RSRID = "5615", FRAME = "MST")	NULL	NULL	NA	NULL	list(MSTID = c("08399", "08108", "11031"), RSRID = c("26643", "26469", "28318"), LNAME = c("Kržiè", "Šparovec", "NAGLIÈ"), FNAME = c("Jožica", "Janez", "KSENIJA"), STAT = c("ACT", "ACT", "NAC"), statadm = c("UPD", "UPD", "UPD"), YNG_ROL = c("Specializacija", "Magisterij", "Magisterij"), ROLECODE = c("002", "003", "003"), startdate = c("1.2.1987", "1.9.1986", "1.7.1989"), enddate = c("31.1.1989", "28.2.1989", "30.6.1991"), TTL_STAT = c("3", "3", "3"), TTL_PRE = c("0", "0", "0"), TTL_POST = c("0", 
"0", "0"), ORG_NAME = c("Inštitut za matematiko, fiziko in mehaniko", "Inštitut za matematiko, fiziko in mehaniko", "Urbanistièni inštitut Republike Slovenije"), ORGID = c("554", "554", "658"), ABBREV = c(NA, NA, "Mag."), WEIGHT = c(NA, NA, "50"), LVLCODE = c(NA, NA, "MSD"), SCIENCE = c(NA, NA, "4"), FIELD = c(NA, NA, "05"), SUBFIELD = c(NA, NA, "00"), SCI_DESCR = c(NA, NA, "Biotehnika"), FIL_DESCR = c(NA, NA, "Urejanje krajine"))	NULL	NA	NA	0	 "Matematika", 	 "Numerièna in raèunalniška matematika"
2	00204	13722	Suhadolc	Anton	RSR	1	01	00	NAC	UPD	F	SI	list(SCIENCE = "1", FIELD = "01", SUBFIELD = "00", WEIGHT = "1", SCI_DESCR = "Naravoslovje", FIL_DESCR = "Matematika")	list(`1ABC` = "0", `2A3AB` = "0", A1_Score = "0", A11 = "0", A12 = "0", A3_Score = "0", A3_Update = "0", A31_Score = "0", A32_Score = "0", A33_Score = "0", A34_Score = "0", A35_Score = "0", AI = "0", AII = "0", CI_10 = "5", CI_Max = "4", Cnt_1A1 = "0", Cnt_1A2 = "0", Cnt_1A3 = "0", Cnt_1A4 = "0", Cnt_1B = "0", Cnt_1C = "0", Cnt_1D = "0", Cnt_2A = "0", Cnt_2B = "0", Cnt_2C = "0", Cnt_2D = "0", Cnt_2E = "0", Cnt_2F = "0", Cnt_2G = "0", Cnt_2H = "0", Cnt_2I = "0", Cnt_2J = "0", Cnt_3A = "0", Cnt_3B = "0", 
    Cnt_3C = "0", Cnt_3D = "0", Cnt_3E = "0", Cnt_3F = "0", Cnt_4C = "0", Cnt_4D = "0", Cnt_A12 = "0", Cnt_AI = "0", Cnt_AII = "0", Cnt_S = "68", Cnt_Z = "0", `h-index` = "1", Z = "0", SCIENCE = "1")	list(WOS_CONNECTIONS = "5", WOS_CITATIONS = "51", WOS_PURE_CITATIONS = "49", SCOPUS_CONNECTIONS = "4", SCOPUS_CITATIONS = "31", SCOPUS_PURE_CITATIONS = "31", WOS_DIV = "9,8", SCOPUS_DIV = "7,75")	Dr.	NA	NULL	NULL	list(CID = "6026245", TYPOLOGY = "2.08", DOCTYPE = "m", TITLE = "Posplošitev Fourier-Laplaceove transformacije", FROMYEAR = "1964", PAGES = "35 str.", DATECRE = "25.3.1991")	list(EDULVL = c("diploma", "doktorat"), INSTNAME1 = c("UNIVERZA V LJUBLJANI", "UNIVERZA V LJUBLJANI"), INSTNAME2 = c("FNT - ODD. ZA MATEMATIKO", "FNT - ODD. ZA MATEMATIKO"), YEAR = c("1957", "1965"), LVLCODE = c("BCD", "DOD"))	NULL	list(MSTID_PRG = "J", MSTID_SCIENCE = "1", MSTID_CONTR = "8535", TITLE = "Preslikave na kolobarjih in algebrah II", STARTDATE = "1.7.1997", ENDDATE = "30.6.2000", PRJID = "935", PRJ_STATADM = "UPD", FNAME = "Matej", LNAME = "Brešar", RSR_MSTID = "08721", RSR_STATADM = "UPD", RSRID = "6516", FRAME = "MST")	NULL	NULL	NA	NULL	list(MSTID = "08052", RSRID = "6283", LNAME = "Robnik", FNAME = "Ana", ABBREV = "Mag.", WEIGHT = "50", LVLCODE = "MSD", SCIENCE = "2", FIELD = "08", SUBFIELD = "00", SCI_DESCR = "Tehnika", STAT = "ACT", FIL_DESCR = "Telekomunikacije", statadm = "UPD", YNG_ROL = "Magisterij", ROLECODE = "003", startdate = "1.4.1986", enddate = "31.10.1988", TTL_STAT = "3", TTL_PRE = "0", TTL_POST = "0", ORG_NAME = "Inštitut za matematiko, fiziko in mehaniko", ORGID = "554")	NULL	NA	NA	0	NA	NA
3	00213	3980	Zakrajšek	Egon	RSR	1	01	03	RIP	UPD	T	SI	list(SCIENCE = "1", FIELD = "01", SUBFIELD = "03", WEIGHT = "1", SCI_DESCR = "Naravoslovje", FIL_DESCR = "Matematika", SUB_DESCR = "Numerièna in raèunalniška matematika")	list(`1ABC` = "0", `2A3AB` = "0", A1_Score = "0", A11 = "0", A12 = "0", A3_Score = "0", A3_Update = "0", A31_Score = "0", A32_Score = "0", A33_Score = "0", A34_Score = "0", A35_Score = "0", AI = "0", AII = "0", CI_10 = "14", CI_Max = "6", Cnt_1A1 = "0", Cnt_1A2 = "0", Cnt_1A3 = "0", Cnt_1A4 = "0", Cnt_1B = "0", Cnt_1C = "0", Cnt_1D = "0", Cnt_2A = "0", Cnt_2B = "0", Cnt_2C = "0", Cnt_2D = "0", Cnt_2E = "0", Cnt_2F = "0", Cnt_2G = "0", Cnt_2H = "0", Cnt_2I = "0", Cnt_2J = "0", Cnt_3A = "0", Cnt_3B = "0", 
    Cnt_3C = "0", Cnt_3D = "0", Cnt_3E = "0", Cnt_3F = "0", Cnt_4C = "0", Cnt_4D = "0", Cnt_A12 = "0", Cnt_AI = "0", Cnt_AII = "0", Cnt_S = "1", Cnt_Z = "0", `h-index` = "3", Z = "0", SCIENCE = "1")	list(WOS_CONNECTIONS = "17", WOS_CITATIONS = "42", WOS_PURE_CITATIONS = "31", SCOPUS_CONNECTIONS = "8", SCOPUS_CITATIONS = "42", SCOPUS_PURE_CITATIONS = "39", WOS_DIV = "1,82", SCOPUS_DIV = "4,88")	Dr.	Numerièna matematika, raèunalniška matematika.	list()	NULL	list(CID = c("3392857", "8547417", "6225925"), TYPOLOGY = c("2.11", "2.09", "2.08"), DOCTYPE = c("m", "m", "m"), TITLE = c("Numerièno raèunanje lastnih vrednosti nesimetriènih matrik", "Numerièna realizacija Ritzovega procesa", "O invariantni vložitvi pri reševanju diferencialnih enaèb"), FROMYEAR = c("1965", "1975", "1978"), PAGES = c("59 str.", "127 str.", "144 str."), DATECRE = c("14.4.1995", "3.2.1999", "30.3.1991"))	list(EDULVL = c("diploma", "magisterij", "doktorat"), DEGREE = c("dipl.ing.tehn. matematike", NA, NA), INSTNAME1 = c("Univerza v Ljubljani", "Univerza v Zagrebu", "Univerza v Ljubljani"), INSTNAME2 = c("FNT - Oddelek za matematiko", "Priridosl. mat. fak.", "FNT - Oddelek za matematiko"), COUNTRY = c("Slovenija", "Hrvaška", "Slovenija"), FIELD = c("tehnièna matematika", "Matematika", "matematika"), YEAR = c("1965", "1975", "1978"), LVLCODE = c("BCD", "MSD", "DOD"), COUNTRYCODE = c("SI", "HR", "SI"
))	list(LANG_DESCR = c("angleški", "hrvaški", "francoski", "nemški", "ruski"), LANGCODE = c("ENG", "HRV", "FRE", "GER", "RUS"), SKILLRD = c("tekoèe", "tekoèe", "osnovno", "osnovno", "osnovno"), SKILLWR = c("tekoèe", "tekoèe", "osnovno", "osnovno", "osnovno"), SKILLSPK = c("tekoèe", "tekoèe", "osnovno", "osnovno", "osnovno"), SKILLRD_CODE = c("FL", "FL", "BA", "BA", "BA"), SKILLWR_CODE = c("FL", "FL", "BA", "BA", "BA"), SKILLSPK_CODE = c("FL", "FL", "BA", "BA", "BA"))	list(MSTID_PRG = c("J", "J", "J"), MSTID_SCIENCE = c("1", "1", "1"), MSTID_CONTR = c("0502", "8549", "7036"), TITLE = c("Topološka teorija grafov", "Izbrane teme iz teoretiènega raèunalništva III", "Topološka teorija grafov"), STARTDATE = c("1.7.1998", "1.7.1997", "1.1.1995"), ENDDATE = c("30.6.2001", "30.6.2000", "30.6.1998"), PRJID = c("951", "931", "823"), PRJ_STATADM = c("UPD", "UPD", "UPD"), FNAME = c("Bojan", "Marko", "Bojan"), LNAME = c("Mohar", "Petkovšek", "Mohar"), RSR_MSTID = c("01931", 
"01935", "01931"), RSR_STATADM = c("UPD", "UPD", "UPD"), RSRID = c("4378", "4379", "4378"), FRAME = c("MST", "MST", "MST"))	list(MSTID_PRG = "P", MSTID_SCIENCE = "0", MSTID_CONTR = "0512-0101", TITLE = "Analiza podatkov in kombinatorièna optimizacija", STARTDATE = "1.1.1999", ENDDATE = "31.12.2003", oldmstid = "P0-0512-0101", PRJID = "2725", PRJ_STATADM = "UPD", FNAME = "Vladimir", LNAME = "Batagelj", RSR_MSTID = "01467", RSR_STATADM = "UPD", RSRID = "4275", FRAME = "MST")	NULL	NA	list(url = "http://videolectures.net/ssk07_zakrajsek_prsz/", title = "Predstavitev raziskovalnih del slovenskih znanstvenikov iz tujine", event = "SVETOVNI SLOVENSKI KONGRES: V. konferenca slovenskih znanstvenikov in gospodarstvenikov iz sveta in Slovenije")	NULL	NULL	NA	NA	0	 "Matematika", 	 "Numerièna in raèunalniška matematika"
4	00219	21702	KRUŠIÈ	BOGDAN	RSR	1	01	00	RIP	UPD	F	SI	list(SCIENCE = "1", FIELD = "01", SUBFIELD = "00", WEIGHT = "1", SCI_DESCR = "Naravoslovje", FIL_DESCR = "Matematika")	NULL	list(WOS_CONNECTIONS = "1", WOS_CITATIONS = "0", WOS_PURE_CITATIONS = "0", SCOPUS_CONNECTIONS = "1", SCOPUS_CITATIONS = "0", SCOPUS_PURE_CITATIONS = "0", WOS_DIV = "0", SCOPUS_DIV = "0")	Dr.	NA	NULL	NULL	list(CID = "6084613", TYPOLOGY = "2.08", DOCTYPE = "m", TITLE = "Reševanje Lamejevega sistema diferencialnih enaèb v razliènih pravokotnih koordinatnih sistemih", FROMYEAR = "1967", PAGES = "111 str.", DATECRE = "26.3.1991")	list(EDULVL = c("diploma", "doktorat"), INSTNAME2 = c("PRIRODNO-MATEMETIÈNA FAKULTETA", "MATEMATIÈNA FAKULTETA"), YEAR = c("1955", "1967"), LVLCODE = c("BCD", "DOD"))	NULL	NULL	NULL	NULL	NA	NULL	NULL	NULL	NA	NA	0	NA	NA
