	LIST.ID	LIST.BIBL.UT	LIST.BIBL.EID	LIST.BIBL.AC	LIST.BIBL.CI	LIST.BIBL.CIAU	LIST.BIBL.TC	LIST.BIBL.PUBYEAR	LIST.BIBL.AUPUB	LIST.BIBL.TITLE	LIST.BIBL.VOLUME	LIST.BIBL.ISSUE	LIST.BIBL.PAGES	LIST.BIBL.DOI	LIST.SER.ISSN	LIST.SER.OA	LIST.SER.TITLE	LIST.CODES.RSR.VAL	LIST.CODES.RSR.SCI	LIST.CODES.PRJ.VAL	LIST.CODES.PRJ.SCI	LIST.CODES.PRG.VAL	LIST.CODES.PRG.SCI	LIST.CODES.GRP.VAL	LIST.CODES.GRP.SCI	LIST.CODES.ORG.VAL	LIST.CODES.ORG.SCI	LIST.CODES.UNI.VAL	LIST.CODES.UNI.SCI	LIST.CODES.NOR.VAL	LIST.CODES.NOR.SCI	TEME
11	1011849		2-s2.0-0037767073	0	0	0	0	2003	Devjak Srecko, Tiîler Vesna	Empirical model of wood staining by tannin-based stains	Vol. 47	No. 3	str. 27-38	NA	Dec-36		Drev˙rsky v_skum	2037,03958	B01,N0106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	model, tannin, tannin-based stains
12	10124377		2-s2.0-23044524574	0	1	0.5	1	2001	Duîan D. Repovî, Arkadiy B. Skopenkov	On contractible n-dimensional compacta, non-embeddable into R [sup] {2n}	Vol. 129	no. 2	str. 627-628	NA	Feb-39	sherpa_romeo	Proceedings of the American Mathematical Society	7083	N0101	J1-8131,N1-0064,N1-0083	N01,N0101,N0101	P1-0292	N01	0101-001,0588-002,1554-001	N0101,D0103,N01	0101,0510,0588,1554	N01,T0707,D0103,N0201	UNI-001		NA	NA	matematika, topologija, vloñitve v evklidski prostor, ekvivariantne preslikave, kompaktni metri”ni prostori, skr”ljivi kompakti, involucija, Borsuk-Ulamov izrek, mathematics, topology, embeddings in Euclidean space, equivariant maps, compact metric spaces, contractible compacta, involution, Borsuk-Ulam theorem, antipode
13	10126809		2-s2.0-0033239605	1	10	3.32	11	1999	Matjañ Kuntner., Boris Ñket, Andrej Blejec	A Comparison of the respiratory systems in some cave and surface species of spiders (Aranea, Dysderidae)	Vol. 27	no. 1	str. 142-148	NA	0161-8202	sherpa_romeo	The Journal of arachnology	00206,06989,19326	N0301,N0106,N0301	J1-8142,J1-9163	N0301,N03	P1-0236,P1-0255	N03,N03	0105-008,0481-209,0618-013	N0303,N0301,N0301	0105,0481,0510,0618	N03,B,T0707,H	UNI-001		NA	NA	Spiders, Respiratory system, Anatomy and histology, Arachnida, Dysderidae
14	10140505		2-s2.0-0034144757	9	7	7	16	2000	Bor Plestenjak	A continuation method for right definite two-parameter eigenvalue problem	Vol. 21	no. 4	str. 1163-1184	NA	0895-4798	sherpa_romeo	SIAM journal on matrix analysis and applications	15136	N0105	J1-8132,J7-8279	N0104,D	P1-0294	N07	0101-002,1554-001	N0103,N01	0101,0510,1554	N01,T0707,N0201	UNI-001		NA	NA	matematika, numeri”na analiza, linearna algebra, ve”parametri”ni problemi lastnih vrednosti, desno definitni dvoparametri”ni problem, metoda zveznega nadaljevanja, Newtonova metoda, Rayleighov kvocient, metoda TRQI, mathematics, numerical analysis, linear algebra, multiparameter eigenvalue problems, right definite two-parameter problem, continuation method, Newton's method, Rayleigh quotient iteration, TRQI method
15	10141212		2-s2.0-72949102841	0	0	0	0	2010	Janko Marovt	Homomorphisms of matrix semigroups over division rings from dimension two to four	Vol. 432	iss. 6	str. 1595-1607	10.1016/j.laa.2009.11.019	0024-3795	sherpa_romeo	Linear Algebra and its Applications	23340	N0101	J1-8133	N0104	P1-0288	N01	0101-001,0585-003	N0101,D0202	0101,0552,0585	N01,D03,D0201	UNI-002		NA	NA	matematika, multiplikativna preslikava, matrike nad nekomutativnimi obsegi, kvaternioni, algebra, multiplicative map, matrices over division rings, quaternions
16	10141273		2-s2.0-0034355827	2	0	0	2	2000	Matija Cencelj, Duîan D. Repovî	On compacta of cohomological dimension one over nonabelian groups	Vol. 26	no. 3	str. 527-535	NA	0362-1588		Houston journal of mathematics	3342,07083	N0102,N0101	J1-8131,N1-0064,N1-0083	N01,N0101,N0101	P1-0292	N01	0101-001,0588-002,1554-001	N0101,D0103,N01	0101,0510,0588,1554	N01,T0707,D0103,N0201	UNI-001		NA	NA	matematika, topologija, kohomoloîka dimenzija, Davermanovi kompakti, kompakti Cannon-Ñtan'ka, neabelovi kompakti, îibko Kajnovi kompakti, popolne grupe, celi”aste preslikave, gropi, kompleksi Eilenberg-McLanea, mathematics, topology, cohomological dimension, Daverman compactum, Cannon-Ñtan'ko compactum, nonabelian compactum, weakly Cainian compactum, perfect group, grope, Eilenberg-MacLane complex, cell-like map
17	10142297		2-s2.0-7544244330	0	5	2.5	5	2000	E. V. Shchepin, Duîan D. Repovî	On smoothness of compacta	Vol. 100	no. 6	str. 2716-2726	NA	1072-3374	sherpa_romeo	Journal of mathematical sciences	7083,10384	N0101,X	J1-8131,N1-0064,N1-0083	N01,N0101,N0101	P1-0292	N01	0101-001,0588-002,1554-001	N0101,D0103,N01	0101,0510,0588,1554	N01,T0707,D0103,N0201	UNI-001		NA	NA	matematika, topologija, gladkost kompaktov, ambientno homogeni kompakti, Hilbert-Shmithova hipoteza, tangentna smer, analiza na mnogoterostih, mathematics, topology, smoothness of compacta, ambiently homogeneous compacta, Hilbert-Smith conjecture, tangential space, directed derivative
18	10147929		2-s2.0-0002732467	2	80	40	82	2000	Mireille Bousquet-M‘lou, Marko Petkovîek	Linear recurrences with constant coefficients: the multivariate case	Vol. 225	no. 1-3	str. 51-75	NA	0012-365X	sherpa_romeo	Discrete Mathematics	1935	N0103	J7-8279	D	P1-0294	N07	0101-002,1554-001	N0103,N01	0101,0510,1554	N01,T0707,N0201	UNI-001		NA	NA	matematika, ra”unalniîtvo, simbolno ra”unanje, linearne rekurzivne ena”be, algebrai”ne rodovne funkcije, mathematics, computer science, symbolic computation, linear recurrences, algebraic generating functions
19	10164308		2-s2.0-84885166824	0	0	0	0	2013	Marko Robnik A_ikonja, Erik Ñtrumbelj, Igor Kononenko	Efficiently explaining the predictions of a probabilistic radial basis function classification network	Vol. 17	no. 5	str. 791-802	10.3233/IDA-130607	1088-467X	sherpa_romeo	Intelligent data analysis	04242,15295,29486	T0707,T0707,T0707	J3-9264,J6-8256	M03,H05	P2-0209,P5-0410,P6-0411	T07,D0202,H05	1539-017	T0707	510,1539	T0707,T0705	UNI-001		NA	NA	podatkovno rudarjenje, vizualizacija modelov, interpretacija modelov, pomembnost atributov, nevronske mreñe, data mining, model visualization, model interpretation, feature importance, neural nets
20	10165332		2-s2.0-84911980035	1	17	8.5	18	2014	Erik Ñtrumbelj, Igor Kononenko	Explaining prediction models and individual predictions with feature contributions	Vol. 41	no. 3	str. 647-665	10.1007/s10115-013-0679-x	0219-1377	sherpa_romeo	Knowledge and information systems	4242,29486	T0707,T0707	J3-9264	M03	P2-0209,P5-0410	T07,D0202	1539-017	T0707	510,1539	T0707,T0705	UNI-001		NA	NA	odkrivanje znanja, podatkovno rudarjenje, vizualizacija, razumljivost, podpora odlo”anju, knowledge discovery, data mining, visualization, interpretability, decision support
